Date,Tweet,User,Tweet ID,Tweet Url,Cleaned Tweet,Sentiment,Confidence
2022-12-21 20:28:57+00:00,"@thdxr @deno_land @jarredsumner Also, it's not like @nodejs is at a complete standstill.

Basically, what I'm trying to suggest, is if you communicate what is awesome about these other tools in comparison to js stuff, js world can navigate towards those ideas.",DevinRhode2,1605661623917547520,https://twitter.com/DevinRhode2/status/1605661623917547520,"_land also, like complete standstill. basically, i'm trying suggest, communicate awesome tool comparison j stuff, j world navigate towards ideas.",negative,0.366620808839798
2022-12-21 20:26:13+00:00,"@thdxr With npm, yarn, and pnpm, we have a competitive landscape. Of course we are all building on top of node.

I guess @deno_land doesn't even have a package manager, but is a serious breaking change in the ecosystem.

@jarredsumner's bun can fix a lot of node stuff",DevinRhode2,1605660935997116416,https://twitter.com/DevinRhode2/status/1605660935997116416,"npm, yarn, pnpm, competitive landscape. course building top node. guess _land even package manager, serious breaking change ecosystem. 's bun fix lot node stuff",neutral,0.375194787979126
2022-12-21 17:41:32+00:00,"Decided to bail from #AdventOfCode early as I don't want to spend the bulk of my Christmas break in front of a computer screen 🙃 Here are my solutions to days 1-13, written in TypeScript and running on @deno_land! https://t.co/ndHdsUpilS",jamesseanwright,1605619492632989696,https://twitter.com/jamesseanwright/status/1605619492632989696,"decided bail adventofcode early want spend bulk christmas break front computer screen 🙃 solution day 1-13, written typescript running _land!",negative,0.47214260697364807
2022-12-21 14:41:48+00:00,"Part 5 of my @deno_land crash course series just released! Learn how to connect a REST API to @Firebase's Firestore 🔥

https://t.co/prdXJkTwZQ",jaydanurwin,1605574260759490560,https://twitter.com/jaydanurwin/status/1605574260759490560,part 5 _land crash course series released! learn connect rest api 's firestore 🔥,neutral,0.3642548620700836
2022-12-21 13:51:52+00:00,"That's how ""software at scale"" model for runtime companies &amp; @deno_land is doing pretty well by saas-ifying their isolate-based edge network called Deno Subhosting by basically letting other tech vendors to extend their platforms with an edge infra:
https://t.co/iyyh285sYY",hwclass,1605561694117584902,https://twitter.com/hwclass/status/1605561694117584902,"that's ""software scale"" model runtime company &amp; _land pretty well saas-ifying isolate-based edge network called deno subhosting basically letting tech vendor extend platform edge infra:",negative,0.37165385484695435
2022-12-21 12:54:31+00:00,"Landed my first few @deno_land contributions in recent days.
I think I finally found a place, where I can write Rust and work with JS/TS ecosystem at the same time.
Definitely more to come, as it brings me so much joy and satisfaction, knowing how many people appreciate it.",kamilogorek,1605547263912136704,https://twitter.com/kamilogorek/status/1605547263912136704,"landed first _land contribution recent days. think finally found place, write rust work js/ts ecosystem time. definitely come, brings much joy satisfaction, knowing many people appreciate it.",positive,0.3720546066761017
2022-12-21 05:30:32+00:00,"@pierbover @dart_lang @deno_land Creating cross-platform executable is definitely a big drawback for me.

https://t.co/A3vPNUGDCd",DevinRhode2,1605435529914290177,https://twitter.com/DevinRhode2/status/1605435529914290177,_lang _land creating cross-platform executable definitely big drawback me.,neutral,0.33735817670822144
2022-12-21 05:22:59+00:00,Flash HTTP server rewrite - umbrella issue · Issue #17146 · denoland/deno https://t.co/FdoT8npJiB,_ayame113_,1605433627801706503,https://twitter.com/_ayame113_/status/1605433627801706503,flash http server rewrite - umbrella issue · issue 17146 · denoland/deno,positive,0.3733116388320923
2022-12-21 05:12:01+00:00,@DogaArmangil @jekyllrb @deno_land Now enable the nav bar is more easier. Thank for plugin,Official_R_deep,1605430869774061568,https://twitter.com/Official_R_deep/status/1605430869774061568,_land enable nav bar easier. thank plugin,neutral,0.441976934671402
2022-12-21 00:02:52+00:00,"@DevinRhode2 @dart_lang @deno_land Dart is great. Did some Flutter stuff years ago and loved it.

The issue is really the ecosystem.",pierbover,1605353071009226761,https://twitter.com/pierbover/status/1605353071009226761,2 _lang _land dart great. flutter stuff year ago loved it. issue really ecosystem.,negative,0.36457765102386475
2022-12-21 00:01:30+00:00,"@DevinRhode2 @remigrado @dart_lang @deno_land Neither Node nor Deno are V8 wrappers.

Most of Node is actually C++ code. V8 is only used for interfacing with user code.",pierbover,1605352723746295808,https://twitter.com/pierbover/status/1605352723746295808,2 _lang _land neither node deno v8 wrappers. node actually c++ code. v8 used interfacing user code.,negative,0.4085063636302948
2022-12-20 21:51:28+00:00,"@lk_kioi @dart_lang @deno_land I guess if Dart isn't definitively faster in all cases, using Deno/node seems fine for now",DevinRhode2,1605320002151800832,https://twitter.com/DevinRhode2/status/1605320002151800832,"_kioi _lang _land guess dart definitively faster cases, using deno/node seems fine",neutral,0.36344069242477417
2022-12-20 21:50:20+00:00,"@lk_kioi @dart_lang @deno_land Receipts or it didn't happen!

I googled ""node vs dart benchmark"" and didn't find any very comprehensive benchmarks:
https://t.co/hQqs83tw9E
https://t.co/ybIK977WM7",DevinRhode2,1605319718130302979,https://twitter.com/DevinRhode2/status/1605319718130302979,"_kioi _lang _land receipt happen! googled ""node v dart benchmark"" find comprehensive benchmarks:",neutral,0.38669297099113464
2022-12-20 21:34:42+00:00,"Exporting part 5 of the @deno_land crash course. Those of you who are fans of @Firebase are gonna like this one.

🦕+🔥 = 🐲",jaydanurwin,1605315783911182336,https://twitter.com/jaydanurwin/status/1605315783911182336,exporting part 5 _land crash course. fan gonna like one. 🦕+🔥 = 🐲,negative,0.35727134346961975
2022-12-20 21:15:30+00:00,@DevinRhode2 @dart_lang @deno_land I think node outperforms dart vm? At least in some benchmarks I’ve seen. TS DX is pretty good so not much use for dart unless doing flutter.,lk_kioi,1605310951888412673,https://twitter.com/lk_kioi/status/1605310951888412673,2 _lang _land think node outperforms dart vm? least benchmark i’ve seen. t dx pretty good much use dart unless flutter.,positive,0.37747034430503845
2022-12-20 18:48:00+00:00,Alright going to try using @deno_land .... https://t.co/IocOtTampF,DevinRhode2,1605273831014207488,https://twitter.com/DevinRhode2/status/1605273831014207488,alright going try using _land ....,negative,0.3448626697063446
2022-12-20 18:47:35+00:00,@remigrado @dart_lang @deno_land 31mb binary is very tolerable I think.,DevinRhode2,1605273726593167360,https://twitter.com/DevinRhode2/status/1605273726593167360,_lang _land 31mb binary tolerable think.,positive,0.3717774748802185
2022-12-20 18:45:44+00:00,"@remigrado @dart_lang @deno_land looks like deno compile is pretty ok: https://t.co/ouU3MyJ5gv

Compiling a linux executable on macOS only took seconds in the gif demo they have",DevinRhode2,1605273259767128064,https://twitter.com/DevinRhode2/status/1605273259767128064,_lang _land look like deno compile pretty ok: compiling linux executable macos took second gif demo,positive,0.39025500416755676
