Date,Tweet,User,Tweet ID,Tweet Url,Cleaned Tweet,Sentiment,Confidence
2022-12-21 06:39:11+00:00,"Telescope for Neovim is *slick*. I need to rework some muscle memory to take advantage of the features in here, but this is *very* cool.",mblayman,1605452804411297792,https://twitter.com/mblayman/status/1605452804411297792,"telescope neovim *slick*. need rework muscle memory take advantage feature here, *very* cool.",negative,0.40495678782463074
2022-12-21 05:59:09+00:00,"@ThePrimeagen This video is so righteous it broke Firefox for me in Wayland. I was setting up neovim and then I couldn't see my mouse in the browser. Thanks for almost ruining wayland for me prime... 

I might check out emacs in spite!!!!",DingusWyfy,1605442729558753287,https://twitter.com/DingusWyfy/status/1605442729558753287,video righteous broke firefox wayland. setting neovim see mouse browser. thanks almost ruining wayland prime... might check emacs spite!!!!,neutral,0.37202519178390503
2022-12-21 05:37:41+00:00,"Thinking about switching to the terminal based code editor
#ChatGPT #neovim https://t.co/4q4WrxiTai",therealmirsahib,1605437328398221314,https://twitter.com/therealmirsahib/status/1605437328398221314,thinking switching terminal based code editor chatgpt neovim,neutral,0.3726184368133545
2022-12-21 04:58:14+00:00,"""He has implemented various features in sbt, such as wiping out timestamps in JARs to make builds more repeatable[3], setting up Neovim to use eed3si9n/tree-sitter-scala fork-integration branch[4], and ...""
oddly specific and slightly wrong. https://t.co/06aUkVkAQK",eed3si9n,1605427399289708544,https://twitter.com/eed3si9n/status/1605427399289708544,"""he implemented various feature sbt, wiping timestamps jar make build repeatable[3], setting neovim use eed3si9n/tree-sitter-scala fork-integration branch[4], ..."" oddly specific slightly wrong.",negative,0.4090796113014221
2022-12-21 04:43:54+00:00,I can’t help but think that people who love vscode have never used Neovim.,bahelms1,1605423794079899648,https://twitter.com/bahelms1/status/1605423794079899648,can’t help think people love vscode never used neovim.,negative,0.4046151041984558
2022-12-21 03:27:31+00:00,"@kashyapaayush2 @scrumtuous Vim is a text based editor
Neovim is enhanced version of Vim
You can configure it's config.lua to make it like a complete ide
Plus point of using it is it's consumes very less resources and much more customizable than vscode also Vim increases your typing speed",DipankarDas011,1605404570372702210,https://twitter.com/DipankarDas011/status/1605404570372702210,2 vim text based editor neovim enhanced version vim configure config.lua make like complete ide plus point using consumes le resource much customizable vscode also vim increase typing speed,negative,0.3548298180103302
2022-12-21 03:20:51+00:00,"Nice video from @teej_dv if you want to get started on @Neovim !

https://t.co/ShH4s21xDM",yoeight,1605402893036978176,https://twitter.com/yoeight/status/1605402893036978176,nice video _dv want get started !,positive,0.35617733001708984
2022-12-21 02:20:07+00:00,"@jack @WholeMarsBlog Haha doesn't count if gVim, right? Just kidding 😂
Some prefer neoVim.",khalilamar,1605387608632221698,https://twitter.com/khalilamar/status/1605387608632221698,"haha count gvim, right? kidding 😂 prefer neovim.",neutral,0.3658207058906555
2022-12-21 02:13:57+00:00,"Found out that my mouse works in Neovim. I'm gutted.

@ThePrimeagen Father, forgive me.",rowenwillabus,1605386059164131328,https://twitter.com/rowenwillabus/status/1605386059164131328,"found mouse work neovim. i'm gutted. father, forgive me.",negative,0.4407198131084442
2022-12-21 01:41:54+00:00,"I'm giving Neovim another shot from Kakoune and it's gotten much nicer since I last used it.
That being said, I really need to get back to making my own editor",ABuffSeagull,1605377990669598723,https://twitter.com/ABuffSeagull/status/1605377990669598723,"i'm giving neovim another shot kakoune gotten much nicer since last used it. said, really need get back making editor",neutral,0.3657093048095703
